sentence,matches
ايران تعلن عن اختبار جديد ناجح لصاروخ شهاب 3,"['                              \u202dBBC Arabic\u202c - \u202eالشرق الأوسط\u202c - \u202eايران تعلن عن مقترح نووي جديد\u202c                          content=""كبير المفاوضين النوويين الايرانيين يقول إن بلاده اعدت مقترحات جديدة لحلحلة ازمتها النووية مع الغرب، وانها مستعدة لاستئناف التفاوض حول ملفها النووي.""', '/>                            الرئيسية          الشرق الأوسط   \t\t  العالم   \t\t  شارك برأيك   \t\t  اقتصاد وأعمال   \t\t  منوعات  \t \t\t  علوم وتكنولوجيا   \t\t  رياضة   \t\t  راديو وتلفزيون                   آخر تحديث:  \xa0الثلاثاء, 1 سبتمبر/ أيلول, 2009, 11:56 GMT            ايران تعلن عن مقترح نووي جديد                 قال سعيد جليلي كبير المفاوضين النوويين الايرانيين إن بلاده اعدت مقترحات جديدة لحلحلة ازمتها النووية مع الغرب، وانها مستعدة لاستئناف التفاوض حول ملفها النووي.', 'وادى ابحاثهم الى بحث اخرين عن سبل جديدة لعلاج السرطان.', 'في شهر أيار/مايو 2009: بيونجيانج تعلن قيامها بإجراء ثاني اختبار نووي ""ناجح"" تحت الأرض، وتقول إنه كان أكثر قوة من الاختبار الذي أجرته في عام 2006.', 'واضاف: &#34;ان التغيرات ستشمل مساحات جديدة من التعاون&#34;.']"
وأكد النواب أن إجراء مفاوضات مع إسرائيل لتصدير الغاز يعد خرقاً واضحاً ومرفوضاً لقرار الحكومة الصادر منذ عام 2000 بتجميد كافة العلاقات الاقتصادية والتجارية مع إسرائيل رداً على الممارسات الإسرائيلية ضد الانتفاضة الفلسطينية وما تلاها من أحداث، إضافة إلى بدء بناء السور العازل رغم المعارضة العربية والدولية له.,"['المناهج الإسرائيلية.', 'وأكد أن ""دولة إسرائيل يجب ان تعيش إلى جانب الدولة الفلسطينية"".', 'لم تقرر القيادة الفلسطينية في يوم من الأيام أن تبدأ الانتفاضة.', 'هذه سياسة الحكومة.', 'وفي اوائل عام 2009 اعلنت كل من قطر وموريتانيا تجميد علاقاتهما السياسية والاقتصادية مع اسرائيل بسبب الهجوم الاسرائيلي على قطاع غزة.وقد أغلقت قطر مكتب التمثيل التجاري الإسرائيلي في الدوحة تنفيذا لهذا القرار، كما اتخذت سلطنة عمان قرارا مماثلا نهاية لعام 2000 مع انطلاق الانتفاضة الفلسطينية الثانية.']"
القاهرة 3 مايو,"['واعتبر الحزب الحاكم الاتفاق الذي وقع في القاهرة الخميس الماضي محاولة للضغط عليه لتحقيق اغراض سياسية، و نكوصا عن اتفاقية التراضي الوطني التي وقعها معه في مايو/أيار من العام الماضي.', 'وقبل المباراة الحاسمة بين الجزائر ومصر في القاهرة في 14 نوفمبر/ تشرين الثاني  تعرضت حافلة المنتخب الجزائري للرشق بالحجارة ما أدى إلى إصابة 3 لاعبين ما دفع  الفيفا الى فتح تحقيق تأديبي في حق الاتحاد المصري.', 'يشار إلى أنه قبل المباراة الحاسمة بين الجزائر ومصر في القاهرة في 14 نوفمبر/ تشرين الثاني  تعرضت حافلة المنتخب الجزائري للرشق بالحجارة ما أدى إلى إصابة 3 لاعبين ما دفع  الفيفا الى فتح تحقيق تأديبي في حق الاتحاد المصري.', 'وقبل المباراة الحاسمة بين الجزائر ومصر في القاهرة في 14 نوفمبر/ تشرين الثاني تعرضت حافلة المنتخب الجزائري للرشق بالحجارة ما أدى إلى إصابة 3 لاعبين ما دفع الفيفا الى فتح تحقيق تأديبي في حق الاتحاد المصري.', '                              \u202dBBC Arabic\u202c - \u202eالشرق الأوسط\u202c - \u202eاللسفير المصري يعود الى الجزائر\u202c                          content="" السفير المصري عاد إلى الجزائر لمزاولة مهامه بعد مرور 3 شهور على استدعائه الى القاهرة إثر توتر العلاقة بين البلدين بسبب مباراة كرة القدم بين فريقيهما.""']"
تضم ليبيا ومصر ونيجيريا و التشاد,"['و', 'وقد احتجت كوبا ونيجيريا على هذه الإجراءات.', 'ومن جانبها، فتحت نيجيريا تحقيقا في الحادث.', 'ولكن الامر لم يؤخرنا فعلا.', 'ولكن الامر لم يؤخرنا فعلا.']"
وقال إن كمية التعاقد تبلغ 35 ألف متر مربع.,"['وقال إي.', 'وقال مور إنه اعتقد ""لعدة مرات"" أنه سوف يقتل.', 'وقال إن الأزمة المالية  العالمية أثرت على الجميع.', 'وبلغت قيمة العقد –الذي تبلغ مدته 15 عاما- 737 مليون دولار.', 'وقال جيم ماكورميك انه باعها الى حوالي 20 بلدا.']"
ماذا سيفعل عندما سيعود إليها باسم الانتقام؟,"['عندما جاء إلى الحكم كان معدل البطالة سبعة بالمئة.', 'إلا أن ايران أبطلت هذا الاتفاق فيما بعد.', 'والصين متهمة بانتظام بفرض الرقابة على الانترنت عندما تكون الاخبار حساسة سياسيا  .', 'لماذا الانتظار سبعة عشر عاما لنشر المقال.', 'وبرأت ساحة رجلين من الاتهامات الموجهة إليهما.']"
وكان قد فتحهما للمرة الاولى في الاستانة، عاصمة السلطنة العثمانية، صبيحة احد الايام من خريف .1911,"['وكان قد وجداها.', 'وكانت الاكثرية النيابية قد حسمت قرارها بتسمية الحريري البالغ من العمر 39 عاما  كرئيس للحكومة المقبلة.', '""صورة الرئيس""                وكان الرئيس المصري البالغ من العمر 81 عاما قد اجرى عملية جراحية في المرارة في المستشفى الجامعي في مدينة هايدلبرغ الالمانية.', 'اغتيال الحريري               وكان صديق قد عرف للمرة الاولى في قضية إغتيال الحريري.', 'وكان الباشا (27 عاما، سوري) قد اعتقل في العاصمة الايرانية خلال الاحتجاجات التي جرت الاحد.']"
"وأضاف: ""جاء المسيح يدعو إلى الأخلاق الكريمة، من العفة والحياء، والشرف والفضيلة، والبر والرحمة والصفح والغفران..","['وأضاف الزعيم المتشدد ""الساككين دواء للبعض، والضرب المبرح (لآخرين) حتى يُقعَدوا أو يفقدوا أيا من حواسهم"".', 'وأضاف جوركا قائلا إن العمليات الأخيرة نفذتها ""القوات الأمريكية لكن مع تلقي دعم قوي من طرف الحكومة اليمنية.', 'واضاف البيان ان هذا المجلس سيضم وزراء الخارجية والدفاع والطاقة والكهرباء والصناعة والمالية والاقتصاد والنقل في البلدين.', 'وتضم المدينة العديد من الأحياء مثل المنصور والأعظمية والكاظمية والجادرية والدورة والكرادة.', 'وأضاف المراسل أن الهجوم يعد الأول من نوعه الذي يشنه انتحاريون من طالبان باستخدام القنابل والأسلحة الرشاشة.']"
كما يتضمن برنامج التعاون بين كورسيكا ومدنين دعم التبادل فى مجالات البحث العلمى والصحى والبيئى وانشاء مشاريع مشتركة وتعريف المستثمرين من كورسيكا بما هو متاح من الانشطة الاقتصادية من امتيازات وفرص للاستثمار وتبادل الوفود الشبابية وغيرها .,"['الأشجار  الخضراء تزين أرجاء هذا المجمع الذي أقيم على مساحات شاسعة فهو يضم معظم الكليات  التابعة للجامعة اللبنانية ومنها كلية الهندسة والعلوم الطبية والعلوم السياسية  والحقوق وغيرها من الكليات العلمية والأدبية.', 'وقالت المسؤولة الامريكية إن على البلدين التعاون في مجالات شتى، كالخلافات النووية مع ايران وكوريا الشمالية والتعامل مع مشكلة التغير المناخي وتعزيز نظام منع انتشار الاسلحة النووية ومنع انتشار الاوبئة ومحاربة الفقر.', 'كما دعا جامعة  الدول العربية أن تعمل على وقف &#34;التدهور والعبث بمقدرات الشعبين&#34;، وناشد الموقعون مؤسسات  المجتمع المدني والقيادات الشعبية والمثقفين والكتاب في البلدين أن تعمل على تدارك  الاخطاء التي ارتكبها البعض من هنا وهناك وبحث اليات عمل مشتركة تعيد العلاقات بين  الشعبين إلى سابق عهدها.', 'واضاف: ""ان استمرار الدعم الدولي (لكرزاي) يعتمد على مستوى طموحه وما يحققه من نجاح في خمسة مجالات اساسية: الامن وادارة الحكم والمصالحة والتنمية الاقتصادية وتطوير علاقات افغانستان بجيرانها.', 'واوضحت الدراسة التي اعدتها مؤسسة ""ديموس"" البريطانية للابحاث ان الموازنة بين مشاعر الحب والحنان والانضباط والحزم ينمي في الطفل العديد من مهارات التواصل الاجتماعي مقارنة مع التربية الحازمة فقط او تلك التي تتركه ينمو ويكبر دون انضباط.']"
وتستأثر »القابضة للصناعات الغذائية« بالقدر الأكبر من الشركات المطروحة للبيع، اذ تعرض 11 شركة من بينها خمس شركات للبيع الكامل. وتعرض »القومية للتشييد والتعمير« خمس شركات للبيع فيما تعرض »القابضة للاسكان والسياحة والسينما« ثلاث شركات.,"['وحسب التقدير الاولي للعقود المطروحة للمناقصة، تدفع الشركات 2.6 مليار دولار  للعراق بعد التوقيع وتتحمل كلفة نصيب الحكومة في العقود (25 في المئة) حتى يدفعه  العراق فيما بعد في شكل نفط للشركات.', 'وحسب التقدير الاولي للعقود المطروحة للمناقصة، تدفع الشركات 2.6 مليار دولار  للعراق بعد التوقيع وتتحمل كلفة نصيب الحكومة في العقود (25 في المئة) حتى يدفعه  العراق فيما بعد في شكل نفط للشركات.', 'وفي العام ذاته، اشترت دبي انترناشونال كابيتال اليانس ميديكال مقابل 1.25 مليار دولار وتعتزم توسيع واحدة من اكبر الشركات الاوروبية لخدمات الفحص بالاشعة المقطعية واشعة الرنين لتدخل الى الشرق الاوسط واسيا.', 'وفي العام ذاته، اشترت دبي انترناشونال كابيتال اليانس ميديكال مقابل 1.25 مليار دولار وتعتزم توسيع واحدة من اكبر الشركات الاوروبية لخدمات الفحص بالاشعة المقطعية واشعة الرنين لتدخل الى الشرق الاوسط واسيا.', 'وفي العام ذاته، اشترت دبي انترناشونال كابيتال اليانس ميديكال مقابل 1.25 مليار دولار وتعتزم توسيع واحدة من اكبر الشركات الاوروبية لخدمات الفحص بالاشعة المقطعية واشعة الرنين لتدخل الى الشرق الاوسط واسيا.']"
